ad_name,Targeting,Spend,BAR,ROAS,CTR,CVR
Clicky_StateBrand_EnergyBills_IMG_LearnMore_,Lead+Iss.Appt,$125.42,0%,1.20,1.21%,0.74%
Clicky_StateBrand_EnergyBills_IMG_LearnMore_,Leads,$27.61,0%,0.00,1.57%,0.00%
Clicky_StateBrand_EnergyBills_IMG_LearnMore_,Purchase Value,$246.93,0%,1.21,1.05%,3.28%
Clicky_StateBrand_EnergyBills_IMG_LearnMore_,Purchases,$41.65,0%,0.00,1.11%,0.00%
Clicky_StateBrand_EnergyBills_IMG_LearnMore_ Total,,"$1,982.15",0%,0.38,0.83%,0.31%
BeautyShot_V1_BNPLEvergreenOffer__IMG_LearnMore_,Appts,$511.77,0%,0.00,0.71%,0.00%
BeautyShot_V1_BNPLEvergreenOffer__IMG_LearnMore_,Leads,"$1,440.45",10%,1.04,0.47%,4.61%
BeautyShot_V1_BNPLEvergreenOffer__IMG_LearnMore_ Total,,"$1,952.22",10%,0.77,0.55%,2.71%
Greenbar_V1_BNPLEvergreenOffer__IMG_LearnMore_lead,Leads,"$1,915.81",8%,1.02,0.72%,5.37%
Greenbar_V1_BNPLEvergreenOffer__IMG_LearnMore_lead Total,,"$1,915.81",8%,1.02,0.72%,5.37%
Clicky_V2_Cost_HowMuchDoesXActuallyCost_IMG_Square_,Appts,$694.57,0%,0.65,0.80%,0.80%
Clicky_V2_Cost_HowMuchDoesXActuallyCost_IMG_Square_,Lead+Book Appt,$283.02,0%,0.53,0.50%,1.35%
Clicky_V2_Cost_HowMuchDoesXActuallyCost_IMG_Square_,Lead+Iss.Appt,$15.04,0%,0.00,1.25%,0.00%
Clicky_V2_Cost_HowMuchDoesXActuallyCost_IMG_Square_,Leads,$175.12,0%,0.00,0.99%,0.00%
Clicky_V2_Cost_HowMuchDoesXActuallyCost_IMG_Square_,Purchase Value,$684.49,0%,0.88,0.82%,1.83%
Clicky_V2_Cost_HowMuchDoesXActuallyCost_IMG_Square_,Purchases,$25.70,0%,0.00,1.98%,0.00%
Clicky_V2_Cost_HowMuchDoesXActuallyCost_IMG_Square_ Total,,"$1,877.94",0%,0.64,0.78%,1.08%
d:Ad|c:Windows|b:NonBranded|s:Internal|ty:Video|st:Clicky|f:B&AWindowMusic,Purchases,"$1,814.61",14%,0.58,0.72%,1.35%
d:Ad|c:Windows|b:NonBranded|s:Internal|ty:Video|st:Clicky|f:B&AWindowMusic Total,,"$1,814.61",14%,0.58,0.72%,1.35%
d:Ad|c:Windows|b:RBA|s:Cousin|ty:Video|st:UGC|f:WillHook5,Leads,"$1,725.88",25%,0.35,1.49%,0.61%
d:Ad|c:Windows|b:RBA|s:Cousin|ty:Video|st:UGC|f:WillHook5 Total,,"$1,725.88",25%,0.35,1.49%,0.61%
BeautyShot_V4_BNPLEvergreenOffer__IMG_LearnMore_lead,Leads,"$1,703.90",0%,0.26,0.35%,3.13%
BeautyShot_V4_BNPLEvergreenOffer__IMG_LearnMore_lead Total,,"$1,703.90",0%,0.26,0.35%,3.13%
d:Ad|c:Windows|b:RBA|s:Internal|ty:Video|st:Offer|f:BNPLBOGOpromo,Leads,"$1,702.53",22%,0.79,0.74%,3.54%
d:Ad|c:Windows|b:RBA|s:Internal|ty:Video|st:Offer|f:BNPLBOGOpromo Total,,"$1,702.53",22%,0.79,0.74%,3.54%
Whiteboard_ClickyStateBrand_Upgrade_IMG_LearnMore_,Purchases,"$1,554.60",11%,0.87,0.86%,2.59%
Whiteboard_ClickyStateBrand_Upgrade_IMG_LearnMore_ Total,,"$1,554.60",11%,0.87,0.86%,2.59%
Clicky_NumberWindowsBrand_V3_IMG_LearnMore_,Appts,"$1,010.50",33%,0.45,0.61%,0.48%
Clicky_NumberWindowsBrand_V3_IMG_LearnMore_,Lead+Book Appt,$44.96,0%,0.00,0.37%,0.00%
Clicky_NumberWindowsBrand_V3_IMG_LearnMore_,Lead+Iss.Appt,$1.04,0%,0.00,0.00%,#DIV/0!
Clicky_NumberWindowsBrand_V3_IMG_LearnMore_,Leads,$9.76,0%,0.00,0.46%,0.00%
Clicky_NumberWindowsBrand_V3_IMG_LearnMore_,Purchase Value,$393.64,0%,3.81,1.60%,14.08%
Clicky_NumberWindowsBrand_V3_IMG_LearnMore_,Purchases,$40.57,0%,0.00,1.03%,0.00%
Clicky_NumberWindowsBrand_V3_IMG_LearnMore_ Total,,"$1,500.47",8%,1.30,0.65%,1.81%
BeautyShot_V2_BNPLEvergreenOffer__IMG_LearnMore_lead,Leads,"$1,474.91",0%,0.81,0.47%,4.12%
BeautyShot_V2_BNPLEvergreenOffer__IMG_LearnMore_lead Total,,"$1,474.91",0%,0.81,0.47%,4.12%
d:Ad|c:Windows|b:RBA|s:Internal|ty:Video|st:Offer|f:ClickyWindowV2,Leads,"$1,432.21",40%,0.52,0.67%,2.15%
d:Ad|c:Windows|b:RBA|s:Internal|ty:Video|st:Offer|f:ClickyWindowV2 Total,,"$1,432.21",40%,0.52,0.67%,2.15%
AD15_Danielle_Quality_WindowsBrand_VID_LearnMore_,Leads,"$1,416.18",0%,0.53,0.67%,1.78%
AD15_Danielle_Quality_WindowsBrand_VID_LearnMore_ Total,,"$1,416.18",0%,0.53,0.67%,1.78%
AD12_Danielle_EnergyBill_Pain_WindowsBrand_VID_LearnMore_,Leads,"$1,371.81",25%,0.44,1.15%,1.21%
AD12_Danielle_EnergyBill_Pain_WindowsBrand_VID_LearnMore_ Total,,"$1,371.81",25%,0.44,1.15%,1.21%
V2_BOGOEvergreenOffer__IMG_LearnMore_lead,Appts,$60.73,0%,0.00,0.80%,0.00%
V2_BOGOEvergreenOffer__IMG_LearnMore_lead,Lead+Book Appt,$13.85,0%,0.00,0.86%,0.00%
V2_BOGOEvergreenOffer__IMG_LearnMore_lead,Lead+Iss.Appt,$11.06,0%,0.00,0.00%,#DIV/0!
V2_BOGOEvergreenOffer__IMG_LearnMore_lead,Leads,"$1,281.14",0%,0.70,0.53%,2.48%
V2_BOGOEvergreenOffer__IMG_LearnMore_lead,Purchases,$3.57,0%,0.00,0.00%,#DIV/0!
V2_BOGOEvergreenOffer__IMG_LearnMore_lead Total,,"$1,370.35",0%,0.66,0.56%,2.05%
BeforeAfter_Cost_V1_IMG_LearnMore_,Appts,"$1,016.73",0%,0.30,0.63%,0.36%
BeforeAfter_Cost_V1_IMG_LearnMore_,Lead+Book Appt,$39.89,0%,0.00,0.34%,0.00%
BeforeAfter_Cost_V1_IMG_LearnMore_,Lead+Iss.Appt,$1.03,0%,0.00,0.00%,#DIV/0!
BeforeAfter_Cost_V1_IMG_LearnMore_,Leads,$19.87,0%,0.00,0.80%,0.00%
BeforeAfter_Cost_V1_IMG_LearnMore_,Purchase Value,$148.75,0%,1.01,0.67%,4.17%
BeforeAfter_Cost_V1_IMG_LearnMore_,Purchases,$66.69,0%,0.00,0.77%,0.00%
BeforeAfter_Cost_V1_IMG_LearnMore_ Total,,"$1,292.96",0%,0.35,0.63%,0.49%
V4_BOGOEvergreenOffer__IMG_LearnMore_lead,Appts,$35.89,0%,0.00,1.04%,0.00%
V4_BOGOEvergreenOffer__IMG_LearnMore_lead,Lead+Book Appt,$7.59,0%,0.00,0.80%,0.00%
V4_BOGOEvergreenOffer__IMG_LearnMore_lead,Lead+Iss.Appt,$27.16,0%,0.00,0.56%,0.00%
V4_BOGOEvergreenOffer__IMG_LearnMore_lead,Leads,"$1,061.73",50%,1.13,0.57%,3.43%
V4_BOGOEvergreenOffer__IMG_LearnMore_lead,Purchases,$12.46,0%,0.00,4.76%,0.00%
V4_BOGOEvergreenOffer__IMG_LearnMore_lead Total,,"$1,144.83",50%,1.05,0.61%,2.90%
d:Ad|c:Windows|b:RBA|s:Cousin|ty:Video|st:UGC|f:BeccaHook2Body2,Leads,"$1,112.45",0%,0.27,0.74%,0.85%
d:Ad|c:Windows|b:RBA|s:Cousin|ty:Video|st:UGC|f:BeccaHook2Body2 Total,,"$1,112.45",0%,0.27,0.74%,0.85%
d:Ad|c:Windows|b:NonBranded|s:Internal|ty:Video|st:Issue|f:WoodRot,Unknown,"$1,079.50",0%,0.42,1.13%,0.64%
d:Ad|c:Windows|b:NonBranded|s:Internal|ty:Video|st:Issue|f:WoodRot Total,,"$1,079.50",0%,0.42,1.13%,0.64%
d:Ad|c:Windows|b:RBA|s:Cousin|ty:Video|st:UGC|f:BeccaHook2Body1,Leads,"$1,014.23",0%,0.00,1.32%,0.00%
d:Ad|c:Windows|b:RBA|s:Cousin|ty:Video|st:UGC|f:BeccaHook2Body1 Total,,"$1,014.23",0%,0.00,1.32%,0.00%
