assetname,Image URL,assetid,Headline,Impressions,Clicks,Leads,Revenue,Spend,Booked Appts
window peel compressed,https://images.mediago.io/ML/e3851d2b1fbb0f306ffb05868b3d9bed__scv1__624x350.png,25716237,${LOCATION_CITY}: Stunning Windows Cutting Noise & Energy Bills Now Available,"29,728",84,0,0,40,0
beautiful windows compressed,https://images.mediago.io/ML/233ef3897ad37f898e82aae46746d0fa__scv1__320x180.png,25716233,Here's Why These New Windows Are Trending in ${LOCATION_CITY},"117,853",168,0,0,114,0
window peel compressed,https://images.mediago.io/ML/e3851d2b1fbb0f306ffb05868b3d9bed__scv1__624x350.png,25716234,Here's Why These New Windows Are Trending in ${LOCATION_CITY},"36,164",25,0,0,13,0
window carry compressed,https://images.mediago.io/ML/13c9344c371512bc4cf98732f8910072__scv1__320x180.png,25716235,Here's Why These New Windows Are Trending in ${LOCATION_CITY},"305,746",474,1,150,300,0
New window carry,https://images.mediago.io/ML/13c9344c371512bc4cf98732f8910072__scv1__320x180.png,26156740,"${LOCATION_CITY}: Finally, Stunning New Windows Reducing Noise & Energy Bills","29,158",26,0,0,28,0
New window carry,https://images.mediago.io/ML/13c9344c371512bc4cf98732f8910072__scv1__320x180.png,26156743,Here's Why These Brilliant Windows Are Sweeping The U.S. In 2025,"21,304",33,0,0,42,0
mid install window,https://images.mediago.io/ML/e3851d2b1fbb0f306ffb05868b3d9bed__scv1__624x350.png,26156739,${LOCATION_CITY}: How Much Does It Cost To Replace Old Windows?,"261,352",314,0,0,422,0
mid install window,https://images.mediago.io/ML/e3851d2b1fbb0f306ffb05868b3d9bed__scv1__624x350.png,26156742,"${LOCATION_CITY}: Finally, Stunning New Windows Reducing Noise & Energy Bills","306,709",362,0,0,482,0
mid install window,https://images.mediago.io/ML/e3851d2b1fbb0f306ffb05868b3d9bed__scv1__624x350.png,26156745,Here's Why These Brilliant Windows Are Sweeping The U.S. In 2025,"61,184",61,0,0,68,0
mid install candid,https://images.mediago.io/ML/30d7a1ba1d88192cb66bf89c9f6c4b71__scv1__624x350.png,26156738,${LOCATION_CITY}: How Much Does It Cost To Replace Old Windows?,"100,406",62,0,0,71,0
mid install candid,https://images.mediago.io/ML/30d7a1ba1d88192cb66bf89c9f6c4b71__scv1__624x350.png,26156744,Here's Why These Brilliant Windows Are Sweeping The U.S. In 2025,"50,308",41,0,0,42,0
mid install candid,https://images.mediago.io/ML/30d7a1ba1d88192cb66bf89c9f6c4b71__scv1__624x350.png,26156741,"${LOCATION_CITY}: Finally, Stunning New Windows Reducing Noise & Energy Bills","91,322",124,0,0,131,0
New window carry,https://images.mediago.io/ML/13c9344c371512bc4cf98732f8910072__scv1__320x180.png,26156737,${LOCATION_CITY}: How Much Does It Cost To Replace Old Windows?,"383,125",244,1,150,303,0
92180d282b85ad3015ca2dcc9452a2b4__scv1__624x350,https://images.mediago.io/ML/92180d282b85ad3015ca2dcc9452a2b4__scv1__624x350.png,26349773,${LOCATION_CITY}: How Much Does It Cost To Replace Old Windows?,"14,572",70,0,0,62,0
New window carry,https://images.mediago.io/ML/13c9344c371512bc4cf98732f8910072__scv1__320x180.png,26349774,Here's How Much You Should Pay for New Windows in 2025,165,2,0,0,1,0
92180d282b85ad3015ca2dcc9452a2b4__scv1__624x350,https://images.mediago.io/ML/92180d282b85ad3015ca2dcc9452a2b4__scv1__624x350.png,26349775,Here's How Much You Should Pay for New Windows in 2025,"4,345",11,0,0,4,0
New window carry,https://images.mediago.io/ML/13c9344c371512bc4cf98732f8910072__scv1__320x180.png,26349776,Here's Why These Brilliant Windows Are Sweeping The U.S. In 2025,"23,297",111,0,0,24,0
92180d282b85ad3015ca2dcc9452a2b4__scv1__624x350,https://images.mediago.io/ML/92180d282b85ad3015ca2dcc9452a2b4__scv1__624x350.png,26349777,Here's Why These Brilliant Windows Are Sweeping The U.S. In 2025,"5,056",9,0,0,2,0
New window carry,https://images.mediago.io/ML/13c9344c371512bc4cf98732f8910072__scv1__320x180.png,26349772,${LOCATION_CITY}: How Much Does It Cost To Replace Old Windows?,"152,995",684,3,450,464,2
